market_id,market_name,alias,addr_road,dong,market_type,form,area_sqm,store_count,store_count_note,main_goods,opened,axis,axis_label,trade_mode,peak_hint,lat,lon,geocode_status,note
M01,서울약령시장,서울약령시;약령시,약령중앙로 20,제기동,인정시장,골목형,119630,899,"899개소(한의원324/약국312/한약도매57/수출99) vs 약1000개 - 출처별 상이",한약재,1995,A,전국 한약재 도매,B2B,주간;오후5시 이후 조기폐점 다수,,,pending,전국 한약재 유통 70%+ / 2005 한방산업특구 / 2013 문화관광형시장 / 2017 서울한방진흥센터
M02,경동시장,,고산자로36길 3,제기동,등록시장,건물형,22262,620,"620여 곳(상인회 소속 362)",한약재;인삼;홍삼;채소;정육;수산;건어물,1960-06,A,전국 한약재 도매,B2B,주간,,,pending,3층 청년몰(2019.8 서울훼미리)+야시장(금~일 18-23시)+스타벅스 경동1960(2022.12.16) / 축D 기능 일부 겸함 / 2021.3 케이디마켓 인수 후 임대료 갈등·공실률 20%
M03,청량리청과물시장,동서시장(동일시장 여부 불확실),왕산로33길 6,청량리동,인정시장,골목형,7473,180,180여 곳,청과;채소,1958,B,새벽 청과 도매,B2B,자정~정오 12시간,,,pending,강북 최대 과일 도매 / 2020.9.21 대형화재 대응2단계 67개중 9개 전소 / ⚠️M07과 동일시장 가능성 - 합산시 중복 주의
M04,경동광성상가,,고산자로 464,제기동,인정시장,골목형,7159,,미확인,미확인,,A,전국 한약재 도매,B2B,미확인,,,pending,세부 정보 미확인 - 원천데이터 확인 필요
M05,청량리농수산물시장,,경동시장로 22,청량리동,인정시장,골목형,3613,,미확인,농수산물,,C,근린 생활 소매,B2C,오후,,,pending,2021.12.19 화재 8개 전소 5개 부분소실 피해 약1억2900만원
M06,청량리종합시장,,홍릉로1길 68-3,청량리동,인정시장,골목형,3086,165,별별시장 스니펫 기반-직접검증 권장,밤;견과류;곡류;참기름;먹거리;선물세트,1960년대,C,근린 생활 소매,B2C,오후,,,pending,⭐디자인혁신 전통시장 2호 224.4억 전액시비 2026.5 조건부추진 결정 / 자사몰 청량마켓 30개 점포 / 2025 중기부 디지털 전통시장 선정
M07,동서시장,,왕산로33길 13,청량리동,등록시장,건물형,2986,,미확인,청과,,B,새벽 청과 도매,B2B,자정~정오 추정,,,pending,⚠️서울시 공식통계는 M03과 별도 등재(주소·유형·면적 상이) 그러나 동대문구는 동일시장 취급 - 해소 필요
M08,청량리수산시장,,고산자로34길 48-1,용두동,인정시장,골목형,2774,,미확인,수산물,,C,근린 생활 소매,B2C,오후,,,pending,클러스터 중 유일하게 왕산로 남측 위치
M09,청량종합도매시장,,약령시로 92-2,제기동,인정시장,골목형,1774,,미확인,도매,,A,전국 한약재 도매,B2B,미확인,,,pending,세부 정보 미확인 - 축 분류는 위치 기반 잠정
M10,청량리전통시장,,경동시장로2길 49-3,청량리동,인정시장,골목형,1066,,미확인,통닭골목;족발;회;노포식당,출처별 상이,D,관광·F&B 체류형,B2C,저녁;주말,,,pending,개설연도 동대문구 공식1993 vs 1964 보따리상 자연발생설 - 1993은 상인회조직/인정시장등록 시점 가능성
