market,10대,20대,30대,40대,50대,60대+,year,청년층
경동광성상가,0.0,1.53,5.13,9.32,22.78,61.23,2021,6.66
경동시장,0.01,1.05,4.27,8.85,19.86,65.96,2021,5.32
동서시장,0.05,1.44,14.72,20.49,21.34,41.97,2021,16.16
서울약령시장,0.03,1.27,15.19,10.49,21.61,51.42,2021,16.46
청량리농수산물시장,0.01,5.07,13.24,9.36,34.11,38.2,2021,18.32
청량리수산시장,0.01,1.35,5.81,8.64,27.26,56.92,2021,7.16
청량리전통시장,0.12,3.88,10.11,18.71,22.24,44.93,2021,13.99
청량리종합시장,0.03,2.07,5.3,10.32,22.27,60.01,2021,7.37
청량리청과물시장,0.03,2.77,20.71,11.89,24.99,39.62,2021,23.48
경동광성상가,0.01,0.86,4.66,7.56,22.25,64.67,2022,5.52
경동시장,0.0,0.61,3.88,8.19,15.51,71.81,2022,4.49
동서시장,0.02,5.66,5.65,14.56,23.72,50.39,2022,11.3
서울약령시장,0.01,1.03,5.37,13.33,21.25,59.02,2022,6.4
청량리농수산물시장,0.01,2.53,3.78,11.04,35.91,46.74,2022,6.31
청량리수산시장,0.0,1.21,7.5,8.68,20.35,62.25,2022,8.72
청량리전통시장,0.09,3.91,9.08,16.47,23.34,47.1,2022,13.0
청량리종합시장,0.01,1.83,5.5,10.55,21.82,60.3,2022,7.33
청량리청과물시장,0.03,3.61,8.04,12.38,25.97,49.96,2022,11.65
경동광성상가,0.0,0.67,5.45,7.75,21.41,64.71,2023,6.12
경동시장,0.0,0.69,3.18,9.12,14.69,72.32,2023,3.87
동서시장,0.03,2.1,8.98,17.12,23.94,47.83,2023,11.08
서울약령시장,0.01,1.01,6.36,11.67,24.95,56.01,2023,7.37
청량리농수산물시장,0.02,2.1,4.5,10.13,30.79,52.46,2023,6.6
청량리수산시장,0.03,0.7,6.6,9.62,18.96,64.09,2023,7.3
청량리전통시장,0.08,3.66,9.41,15.5,22.94,48.41,2023,13.07
청량리종합시장,0.0,1.12,5.41,10.95,21.04,61.47,2023,6.53
청량리청과물시장,0.04,3.95,9.81,16.96,23.12,46.13,2023,13.76
경동광성상가,0.01,0.38,4.18,10.53,17.17,67.73,2024,4.56
경동시장,0.01,0.93,2.96,10.89,14.4,70.82,2024,3.89
동서시장,0.06,1.54,11.41,15.3,26.29,45.4,2024,12.95
서울약령시장,0.02,1.0,10.94,12.89,18.12,57.03,2024,11.95
청량리농수산물시장,0.0,2.87,4.31,13.65,27.39,51.77,2024,7.18
청량리수산시장,0.01,0.67,5.27,9.43,15.81,68.81,2024,5.94
청량리전통시장,0.08,3.65,10.23,15.99,24.9,45.14,2024,13.89
청량리종합시장,0.11,0.87,6.71,10.87,21.2,60.24,2024,7.59
청량리청과물시장,0.04,2.39,11.88,15.49,25.53,44.65,2024,14.28
경동광성상가,0.02,0.45,4.13,7.32,16.19,71.9,2025,4.58
경동시장,0.01,0.69,2.98,9.05,14.6,72.67,2025,3.67
동서시장,0.02,1.88,8.83,14.27,25.66,49.33,2025,10.72
서울약령시장,0.01,2.08,11.89,13.96,14.97,57.09,2025,13.97
청량리농수산물시장,0.03,0.83,4.51,13.18,23.07,58.37,2025,5.35
청량리수산시장,0.0,0.69,5.41,9.21,15.6,69.09,2025,6.1
청량리전통시장,0.19,3.65,8.96,14.73,24.77,47.69,2025,12.62
청량리종합시장,0.02,0.97,4.29,9.97,20.19,64.57,2025,5.25
청량리청과물시장,0.06,2.24,10.59,15.32,25.19,46.61,2025,12.83
