market,quarter,당월_매출_금액,매출_억
경동광성상가,20211,50295918075,502.95918075
경동광성상가,20212,45132331233,451.32331233
경동광성상가,20213,66666409719,666.66409719
경동광성상가,20214,72967031946,729.67031946
경동광성상가,20221,49643885925,496.43885925
경동광성상가,20222,52237551154,522.37551154
경동광성상가,20223,65295905303,652.95905303
경동광성상가,20224,65209713368,652.09713368
경동광성상가,20231,49610927999,496.10927999
경동광성상가,20232,50307602666,503.07602666
경동광성상가,20233,62238689054,622.38689054
경동광성상가,20234,78729189591,787.29189591
경동광성상가,20241,58423538712,584.23538712
경동광성상가,20242,61249726571,612.49726571
경동광성상가,20243,70475094440,704.7509444
경동광성상가,20244,89154196677,891.54196677
경동광성상가,20251,69562051349,695.62051349
경동광성상가,20252,68716292734,687.16292734
경동광성상가,20253,92993550858,929.93550858
경동광성상가,20254,111542581791,1115.42581791
경동시장,20211,52293909225,522.93909225
경동시장,20212,61738523415,617.38523415
경동시장,20213,78157368080,781.5736808
경동시장,20214,88614468158,886.14468158
경동시장,20221,64613855711,646.13855711
경동시장,20222,77468331966,774.68331966
경동시장,20223,79517161470,795.1716147
경동시장,20224,82093572655,820.93572655
경동시장,20231,68872002765,688.72002765
경동시장,20232,85316713115,853.16713115
경동시장,20233,84512661322,845.12661322
경동시장,20234,93079489336,930.79489336
경동시장,20241,81091397924,810.91397924
경동시장,20242,90143670358,901.43670358
경동시장,20243,84921055483,849.21055483
경동시장,20244,101582897106,1015.82897106
경동시장,20251,84172230487,841.72230487
경동시장,20252,99831035417,998.31035417
경동시장,20253,103426674972,1034.26674972
경동시장,20254,117716714111,1177.16714111
동서시장,20211,45213604273,452.13604273
동서시장,20212,43833070996,438.33070996
동서시장,20213,102266619545,1022.66619545
동서시장,20214,48055256822,480.55256822
동서시장,20221,50528773999,505.28773999
동서시장,20222,36816016743,368.16016743
동서시장,20223,73127955108,731.27955108
동서시장,20224,33274101814,332.74101814
동서시장,20231,53091423138,530.91423138
동서시장,20232,56831666972,568.31666972
동서시장,20233,114428121954,1144.28121954
동서시장,20234,72041646596,720.41646596
동서시장,20241,117479049965,1174.79049965
동서시장,20242,93826901562,938.26901562
동서시장,20243,129086526870,1290.8652687
동서시장,20244,93930385839,939.30385839
동서시장,20251,152941822421,1529.41822421
동서시장,20252,109319532586,1093.19532586
동서시장,20253,187049104287,1870.49104287
동서시장,20254,131180614292,1311.80614292
서울약령시장,20211,53124121915,531.24121915
서울약령시장,20212,59298323940,592.9832394
서울약령시장,20213,61167789300,611.677893
서울약령시장,20214,63685944566,636.85944566
서울약령시장,20221,48730067172,487.30067172
서울약령시장,20222,52247045844,522.47045844
서울약령시장,20223,56257685789,562.57685789
서울약령시장,20224,53236935708,532.36935708
서울약령시장,20231,50541639408,505.41639408
서울약령시장,20232,47290311472,472.90311472
서울약령시장,20233,52517466945,525.17466945
서울약령시장,20234,48668699280,486.6869928
서울약령시장,20241,45919229752,459.19229752
서울약령시장,20242,48617064668,486.17064668
서울약령시장,20243,48510110375,485.10110375
서울약령시장,20244,54580763932,545.80763932
서울약령시장,20251,50919966285,509.19966285
서울약령시장,20252,47139772995,471.39772995
서울약령시장,20253,57765601257,577.65601257
서울약령시장,20254,53895400155,538.95400155
청량리농수산물시장,20211,42033404628,420.33404628
청량리농수산물시장,20212,48294970921,482.94970921
청량리농수산물시장,20213,49869866577,498.69866577
청량리농수산물시장,20214,52245165298,522.45165298
청량리농수산물시장,20221,38972891683,389.72891683
청량리농수산물시장,20222,49916874874,499.16874874
