market,year,점포,개업,폐업,순증,폐업률%
경동광성상가,2021,648,10,16,-6,2.5
경동광성상가,2022,638,4,9,-5,1.4
경동광성상가,2023,617,9,10,-1,1.6
경동광성상가,2024,628,9,8,1,1.3
경동광성상가,2025,632,10,10,0,1.6
경동시장,2021,1508,39,33,6,2.2
경동시장,2022,1535,27,21,6,1.4
경동시장,2023,1556,33,29,4,1.9
경동시장,2024,1554,26,23,3,1.5
경동시장,2025,1558,29,32,-3,2.1
동서시장,2021,258,1,1,0,0.4
동서시장,2022,257,1,0,1,0.0
동서시장,2023,250,1,3,-2,1.2
동서시장,2024,267,5,0,5,0.0
동서시장,2025,269,6,7,-1,2.6
서울약령시장,2021,2541,46,50,-4,2.0
서울약령시장,2022,2515,45,59,-14,2.3
서울약령시장,2023,2461,41,57,-16,2.3
서울약령시장,2024,2424,51,52,-1,2.1
서울약령시장,2025,2347,35,59,-24,2.5
청량리농수산물시장,2021,913,15,20,-5,2.2
청량리농수산물시장,2022,904,11,13,-2,1.4
청량리농수산물시장,2023,906,20,17,3,1.9
청량리농수산물시장,2024,916,20,15,5,1.6
청량리농수산물시장,2025,977,36,16,20,1.6
청량리수산시장,2021,479,14,6,8,1.3
청량리수산시장,2022,479,4,5,-1,1.0
청량리수산시장,2023,475,3,4,-1,0.8
청량리수산시장,2024,455,2,8,-6,1.8
청량리수산시장,2025,445,8,6,2,1.3
청량리전통시장,2021,778,22,26,-4,3.3
청량리전통시장,2022,774,18,21,-3,2.7
청량리전통시장,2023,771,20,20,0,2.6
청량리전통시장,2024,783,22,20,2,2.6
청량리전통시장,2025,749,14,24,-10,3.2
청량리종합시장,2021,712,11,5,6,0.7
청량리종합시장,2022,725,11,11,0,1.5
청량리종합시장,2023,722,9,7,2,1.0
청량리종합시장,2024,704,7,11,-4,1.6
청량리종합시장,2025,712,16,10,6,1.4
청량리청과물시장,2021,1017,31,22,9,2.2
청량리청과물시장,2022,1054,32,19,13,1.8
청량리청과물시장,2023,1076,15,16,-1,1.5
청량리청과물시장,2024,1072,20,22,-2,2.1
청량리청과물시장,2025,1088,31,26,5,2.4
