서비스_업종_코드_명,매출_2021억,매출_2025억,성장률
편의점,17.70219902,49.82393976,181.45621740953626
반찬가게,286.0230421,677.64781918,136.92070897668424
한식음식점,240.73084378,561.79428408,133.3702965762936
수산물판매,1402.29833734,2800.78078093,99.72788288708676
청과상,17301.63353413,29707.05844179,71.70088814555278
분식전문점,5.29697634,8.42917073,59.13174212894445
일반의원,152.1445539,221.90490733,45.85136414140158
호프-간이주점,20.69278229,28.33746422,36.94371217395145
육류판매,811.71485114,1066.90641593,31.438572847546187
미곡판매,1146.59537721,1226.87481085,7.001548692385562
커피-음료,6.53573049,6.98803665,6.920514251498755
의약품,569.30982378,576.89947692,1.333132298615114
슈퍼마켓,74.03747028,74.51504078,0.6450389217701469
문구,111.96,110.84173519,-0.9988074401572011
치과의원,23.71046189,23.09062035,-2.6142111565587878
의료기기,7.05812823,6.05233995,-14.250070942675407
한의원,117.10645075,86.61283992,-26.039223829862333
여관,6.08921832,2.49229786,-59.07031528473756
