ym,dong,phase,0-19,20-39,40-59,60+
201701,용신동,야간,4026.3870967741937,13491.526881720429,11045.279569892473,10542.827956989247
201701,제기동,야간,2879.6129032258063,9063.849462365592,7492.537634408603,9351.150537634408
201701,전농1동,야간,3914.064516129032,9001.344086021505,8852.225806451612,8043.096774193548
201701,전농2동,야간,2988.795698924731,5269.623655913979,5814.903225806452,4712.935483870968
201701,답십리1동,야간,3160.6236559139784,7367.645161290322,6838.096774193548,5086.63440860215
201701,답십리2동,야간,3080.4193548387098,6227.569892473119,7554.849462365591,6347.182795698925
201701,장안1동,야간,3991.548387096774,12659.193548387097,11073.204301075268,8808.698924731183
201701,장안2동,야간,3730.3870967741937,7188.537634408603,8074.118279569892,6630.032258064516
201701,청량리동,야간,1986.4731182795697,6091.537634408603,6079.182795698925,7166.709677419355
201701,회기동,야간,1779.3978494623655,7711.731182795699,3953.698924731183,4076.8924731182797
201701,휘경1동,야간,1450.4946236559138,4843.344086021506,3482.9139784946237,3453.3655913978496
201701,휘경2동,야간,3450.2688172043013,9656.698924731183,6904.913978494624,6193.741935483871
201701,이문1동,야간,3324.0,12742.161290322581,7062.752688172043,6567.8387096774195
201701,이문2동,야간,3408.9892473118275,5633.537634408603,6029.666666666667,5335.741935483871
201701,용신동,주간,4493.1612903225805,16392.400921658987,17595.69124423963,17605.15207373272
201701,제기동,주간,2535.4055299539173,8273.640552995392,8752.47465437788,12302.188940092166
201701,전농1동,주간,4271.806451612903,9295.566820276497,10084.087557603687,10925.792626728111
201701,전농2동,주간,2827.285714285714,4733.880184331798,4286.073732718894,3957.4976958525344
201701,답십리1동,주간,2652.603686635945,5328.055299539171,5837.6036866359445,4828.820276497696
201701,답십리2동,주간,2509.599078341014,4165.552995391705,5431.055299539171,4813.073732718894
201701,장안1동,주간,3617.9216589861753,11104.912442396313,11929.516129032258,9000.188940092166
201701,장안2동,주간,4414.235023041475,6679.428571428572,8167.193548387097,6408.949308755761
201701,청량리동,주간,2171.594470046083,6431.47926267281,6793.023041474655,8597.852534562213
201701,회기동,주간,2076.2027649769584,8405.230414746544,4623.566820276498,4270.751152073733
201701,휘경1동,주간,1823.4377880184331,5622.963133640553,4387.198156682028,4658.244239631336
201701,휘경2동,주간,2861.6129032258063,6040.548387096774,4796.225806451613,4563.778801843318
201701,이문1동,주간,3056.7511520737326,10541.396313364055,5683.055299539171,5247.230414746543
201701,이문2동,주간,2435.9308755760367,3270.4884792626726,3535.1428571428573,3718.84331797235
201702,용신동,야간,4101.011904761905,14216.72619047619,11369.166666666666,10744.511904761905
201702,제기동,야간,2976.0833333333335,9273.20238095238,7384.619047619047,9038.107142857143
201702,전농1동,야간,4149.345238095238,9508.738095238095,9054.511904761905,8111.107142857142
201702,전농2동,야간,3159.464285714286,5191.25,5775.916666666667,4695.25
201702,답십리1동,야간,3306.345238095238,7784.25,7094.869047619047,5083.214285714285
201702,답십리2동,야간,3258.8809523809523,6319.904761904762,7565.226190476191,6313.857142857142
201702,장안1동,야간,4010.392857142857,12885.202380952382,11039.166666666666,8636.04761904762
201702,장안2동,야간,3753.821428571429,7297.464285714286,8113.071428571428,6776.952380952381
201702,청량리동,야간,1924.2380952380952,5859.261904761905,5821.761904761905,6913.845238095238
201702,회기동,야간,1893.3214285714284,8462.04761904762,4113.714285714285,4239.404761904762
201702,휘경1동,야간,1458.4166666666667,4943.309523809524,3484.3095238095234,3476.3333333333335
201702,휘경2동,야간,3583.2738095238096,9872.654761904761,6893.238095238095,6103.488095238095
201702,이문1동,야간,3548.1190476190477,13032.119047619048,7037.547619047619,6456.297619047619
201702,이문2동,야간,3465.2261904761904,5708.011904761905,6157.702380952381,5330.761904761905
201702,용신동,주간,4419.2295918367345,17385.908163265307,18733.25,18323.95408163265
201702,제기동,주간,2673.801020408163,8523.16836734694,8613.469387755102,11649.602040816328
201702,전농1동,주간,4496.025510204082,9434.617346938776,10119.26530612245,10984.392857142857
201702,전농2동,주간,3221.112244897959,4595.658163265306,4026.1785714285716,3750.086734693877
201702,답십리1동,주간,2712.051020408163,5500.959183673469,5983.336734693878,4913.275510204082
201702,답십리2동,주간,2428.2397959183677,3987.112244897959,5200.801020408164,4597.872448979591
201702,장안1동,주간,3530.2448979591836,11345.336734693878,12171.770408163266,9040.704081632653
201702,장안2동,주간,4406.413265306122,6648.602040816326,8121.719387755103,6334.897959183674
201702,청량리동,주간,2147.627551020408,6394.806122448979,6643.147959183674,8613.091836734693
201702,회기동,주간,2618.688775510204,9149.86224489796,5070.933673469388,4558.321428571428
201702,휘경1동,주간,1934.9336734693877,5877.464285714285,4488.602040816327,4860.780612244897
201702,휘경2동,주간,3043.4897959183677,6119.551020408164,4694.872448979592,4514.178571428572
201702,이문1동,주간,3427.454081632653,10874.408163265307,5793.642857142857,5143.341836734694
201702,이문2동,주간,2373.9846938775513,3103.9897959183677,3410.311224489796,3615.612244897959
201703,용신동,야간,4259.075268817204,14395.63440860215,11294.118279569891,10713.591397849463
201703,제기동,야간,3331.2688172043013,9656.193548387097,7504.612903225807,9033.967741935483
201703,전농1동,야간,4245.623655913979,9686.89247311828,8994.63440860215,8140.591397849462
201703,전농2동,야간,3352.1075268817203,5337.010752688172,5795.397849462366,4698.10752688172
201703,답십리1동,야간,3336.6344086021504,7754.763440860214,7106.301075268817,5002.688172043011
201703,답십리2동,야간,3341.1720430107525,6438.150537634409,7688.0,6565.763440860214
201703,장안1동,야간,3904.3978494623657,12685.827956989247,10949.397849462366,8510.064516129032
201703,장안2동,야간,3879.956989247312,7382.8387096774195,8324.47311827957,6757.182795698925
201703,청량리동,야간,1939.010752688172,5782.602150537634,5682.580645161291,6843.032258064516
201703,회기동,야간,2496.1505376344085,9399.537634408602,4133.8279569892475,4140.05376344086
201703,휘경1동,야간,1667.5698924731184,5232.860215053764,3569.956989247312,3558.6451612903224
201703,휘경2동,야간,4291.05376344086,10387.849462365592,6905.494623655914,6007.8387096774195
201703,이문1동,야간,4720.118279569892,14384.709677419356,7115.182795698925,6533.225806451613
201703,이문2동,야간,3532.0537634408606,5731.548387096774,6067.182795698925,5085.1612903225805
201703,용신동,주간,4798.179723502304,17479.267281105993,18359.110599078344,18115.04608294931
201703,제기동,주간,3404.059907834101,9781.059907834102,8845.783410138249,11845.47004608295
201703,전농1동,주간,4718.47926267281,9654.52534562212,9791.41935483871,10830.271889400921
201703,전농2동,주간,4770.78801843318,6245.990783410139,4171.073732718894,3767.2442396313368
201703,답십리1동,주간,2233.5299539170505,4969.705069124424,5513.460829493088,4556.976958525346
