ym,dong,hour,pop
201701,용신동,0,39233.06451612903
201701,제기동,0,29124.25806451613
201701,전농1동,0,30888.935483870966
201701,전농2동,0,19330.354838709678
201701,답십리1동,0,22729.548387096773
201701,답십리2동,0,23922.354838709678
201701,장안1동,0,38537.32258064516
201701,장안2동,0,26989.90322580645
201701,청량리동,0,21992.032258064515
201701,회기동,0,18348.645161290322
201701,휘경1동,0,13629.483870967742
201701,휘경2동,0,26803.8064516129
201701,이문1동,0,30760.548387096773
201701,이문2동,0,21206.225806451614
201701,용신동,1,39248.22580645161
201701,제기동,1,29309.16129032258
201701,전농1동,1,30762.129032258064
201701,전농2동,1,19363.16129032258
201701,답십리1동,1,22844.16129032258
201701,답십리2동,1,24042.09677419355
201701,장안1동,1,38286.12903225807
201701,장안2동,1,26999.774193548386
201701,청량리동,1,22033.225806451614
201701,회기동,1,18123.032258064515
201701,휘경1동,1,13530.935483870968
201701,휘경2동,1,27027.387096774193
201701,이문1동,1,30887.8064516129
201701,이문2동,1,21309.064516129034
201701,용신동,2,39310.74193548387
201701,제기동,2,29349.064516129034
201701,전농1동,2,30735.41935483871
201701,전농2동,2,19434.25806451613
201701,답십리1동,2,22958.967741935485
201701,답십리2동,2,24091.774193548386
201701,장안1동,2,38117.096774193546
201701,장안2동,2,27013.322580645163
201701,청량리동,2,22056.225806451614
201701,회기동,2,17978.709677419356
201701,휘경1동,2,13592.225806451614
201701,휘경2동,2,27105.41935483871
201701,이문1동,2,30907.16129032258
201701,이문2동,2,21361.516129032258
201701,용신동,3,39462.709677419356
201701,제기동,3,29457.451612903227
201701,전농1동,3,30744.8064516129
201701,전농2동,3,19450.774193548386
201701,답십리1동,3,23042.16129032258
201701,답십리2동,3,24151.677419354837
201701,장안1동,3,37966.967741935485
201701,장안2동,3,26958.322580645163
201701,청량리동,3,22048.1935483871
201701,회기동,3,17898.129032258064
201701,휘경1동,3,13590.0
201701,휘경2동,3,27241.58064516129
201701,이문1동,3,30935.774193548386
201701,이문2동,3,21403.967741935485
201701,용신동,4,40129.8064516129
201701,제기동,4,29677.451612903227
201701,전농1동,4,30785.967741935485
201701,전농2동,4,19408.83870967742
201701,답십리1동,4,23162.41935483871
201701,답십리2동,4,24288.0
201701,장안1동,4,37665.12903225807
201701,장안2동,4,26919.612903225807
201701,청량리동,4,22109.41935483871
201701,회기동,4,17939.8064516129
201701,휘경1동,4,13691.838709677419
201701,휘경2동,4,27210.774193548386
201701,이문1동,4,30867.967741935485
201701,이문2동,4,21366.064516129034
201701,용신동,5,40612.06451612903
201701,제기동,5,29864.032258064515
201701,전농1동,5,30929.90322580645
201701,전농2동,5,19351.41935483871
201701,답십리1동,5,23286.16129032258
201701,답십리2동,5,23990.516129032258
201701,장안1동,5,37512.06451612903
201701,장안2동,5,26806.516129032258
201701,청량리동,5,22229.516129032258
201701,회기동,5,17915.290322580644
201701,휘경1동,5,13973.677419354839
201701,휘경2동,5,27113.74193548387
201701,이문1동,5,30809.129032258064
201701,이문2동,5,21167.09677419355
201701,용신동,6,41448.290322580644
201701,제기동,6,30072.677419354837
201701,전농1동,6,31328.612903225807
201701,전농2동,6,19166.451612903227
201701,답십리1동,6,23241.064516129034
201701,답십리2동,6,23472.58064516129
201701,장안1동,6,37356.22580645161
201701,장안2동,6,26540.387096774193
201701,청량리동,6,22354.032258064515
201701,회기동,6,18050.16129032258
201701,휘경1동,6,14428.193548387097
201701,휘경2동,6,26529.322580645163
201701,이문1동,6,30516.032258064515
201701,이문2동,6,20724.677419354837
201701,용신동,7,43733.3870967742
201701,제기동,7,30313.483870967742
201701,전농1동,7,32124.74193548387
201701,전농2동,7,18663.83870967742
201701,답십리1동,7,22773.612903225807
201701,답십리2동,7,22465.25806451613
201701,장안1동,7,37254.709677419356
201701,장안2동,7,26016.870967741936
201701,청량리동,7,23429.129032258064
201701,회기동,7,18735.41935483871
201701,휘경1동,7,16612.677419354837
201701,휘경2동,7,25276.58064516129
201701,이문1동,7,29678.612903225807
201701,이문2동,7,19863.032258064515
201701,용신동,8,48714.32258064516
201701,제기동,8,30676.483870967742
201701,전농1동,8,31965.290322580644
