dong,0-19_2022,0-19_2025,0-19_변화율,20-39_2022,20-39_2025,20-39_변화율,40-59_2022,40-59_2025,40-59_변화율,60+_2022,60+_2025,60+_변화율
용신동,3205.8046855480866,3698.897791454177,15.381258506763572,13739.391847760511,15100.248875706595,9.904783581581157,10372.298223120204,11292.565765702888,8.872359074012891,8144.84414639786,7838.843292295536,-3.756988453089749
제기동,3878.6931496801953,3138.7146714830346,-19.078036071458072,11915.259204848315,11860.091582234321,-0.46299976916612806,8218.976870552786,7619.4542691190645,-7.294370222426472,8186.479003910007,6949.201818203698,-15.113667122524388
전농1동,3781.63731832331,4615.940600375178,22.061959194484015,10158.740441445223,11975.734576473722,17.886017912374253,8350.424587638247,10139.040104649255,21.41945595986614,6588.410828633297,6865.3698464518375,4.203730232105052
전농2동,3400.9722441363697,2703.5403096734635,-20.50683993864847,4258.149629942393,3703.675189899692,-13.021487928553665,5413.59318865848,4722.520498540243,-12.765508342334254,3954.084718508704,3551.02337295792,-10.193543493493994
답십리1동,4530.186162750257,4189.337036791416,-7.523954065320638,7799.47081981759,7986.137890436395,2.393329944186773,8146.496356207543,8097.631852463808,-0.5998223236974742,5209.354121824116,4804.893509187031,-7.764122061555279
답십리2동,3185.1253949289526,3279.160714771213,2.95232708865949,7428.338122756436,6515.395347575759,-12.290000267811063,8264.75189176225,7568.987973847462,-8.418448938658141,6498.210938232423,5722.8018305031865,-11.932655235414003
장안1동,4181.431244512928,4655.044594112787,11.326584652596106,11700.596046793818,11298.251080187347,-3.438670688205847,10792.137372498939,11410.326689626223,5.728145369077531,7268.946186907102,7122.972396070384,-2.008183677293518
장안2동,4867.80477725679,5649.011779662757,16.048445616716165,7621.8571372870765,8176.234816139969,7.273524927944486,8839.815344941759,9863.726064212176,11.58294239546882,5547.840712514506,5565.326397969326,0.31518001977555166
청량리동,1686.4157849133815,1560.8844921503048,-7.443673967361741,4997.190744705366,5244.255220854161,4.944067352453274,5293.034723780723,4919.414726488159,-7.0587104901079005,5980.023327717187,5330.652967802449,-10.858993758518142
회기동,2565.9080999641587,2132.6514154412785,-16.885120886789828,9537.959857019543,8490.788099022715,-10.978991038908104,3749.186671482335,3062.0544885232493,-18.327499886459663,3430.3603729874962,2672.5909486933842,-22.09008214592252
휘경1동,1915.903061648319,1756.4302464155373,-8.323636953509617,8293.171320112006,8599.31858916585,3.6915584790995215,4023.583555477897,4040.9344476662955,0.4312298216045729,2989.0388625049077,2822.9083687555258,-5.557990424057568
휘경2동,3320.422354388762,2488.9014713284905,-25.042623928886943,8819.802621240406,8383.333002510593,-4.948745878719308,5686.464041099806,5082.755162496161,-10.61659537878452,4255.08735974377,3712.885217427966,-12.742444431233825
이문1동,3182.9449438989145,3388.528504872688,6.458910367514736,12569.941894804999,14461.75487387607,15.050292156504996,4873.107936830094,5512.621072325326,13.123311524908043,3743.0665829173067,3400.9504448347525,-9.139996056813725
이문2동,3084.262883022062,2373.587146201416,-23.041996216752526,4621.717169757423,4088.180532997953,-11.544121311678479,5513.047397785034,4618.357304334127,-16.22859425823847,4127.124797051335,3313.088859005028,-19.724044657624674
