year,market,open,vacant,total,vacancy_rate
2006,경동광성상가,86.0,0,86.0,0.0
2008,경동광성상가,85.0,1,86.0,1.2
2010,경동광성상가,85.0,0,85.0,0.0
2012,경동광성상가,86.0,0,86.0,0.0
2013,경동광성상가,79.0,0,79.0,0.0
2014,경동광성상가,76.0,5,81.0,6.2
2015,경동광성상가,100.0,0,100.0,0.0
2016,경동광성상가,78.0,0,78.0,0.0
2017,경동광성상가,78.0,0,78.0,0.0
2018,경동광성상가,78.0,0,78.0,0.0
2019,경동광성상가,82.0,0,82.0,0.0
2020,경동광성상가,102.0,0,102.0,0.0
2021,경동광성상가,99.0,3,102.0,2.9
2022,경동광성상가,84.0,1,85.0,1.2
2023,경동광성상가,85.0,3,88.0,3.4
2006,경동시장,54.0,10,64.0,15.6
2008,경동시장,620.0,60,680.0,8.8
2010,경동시장,620.0,80,700.0,11.4
2012,경동시장,390.0,80,470.0,17.0
2013,경동시장,550.0,350,900.0,38.9
2014,경동시장,580.0,45,625.0,7.2
2015,경동시장,530.0,311,841.0,37.0
2016,경동시장,489.0,300,789.0,38.0
2017,경동시장,500.0,0,500.0,0.0
2018,경동시장,516.0,40,556.0,7.2
2019,경동시장,516.0,40,556.0,7.2
2020,경동시장,362.0,316,678.0,46.6
2021,경동시장,362.0,316,678.0,46.6
2022,경동시장,362.0,316,678.0,46.6
2023,경동시장,362.0,320,682.0,46.9
2006,동서시장,46.0,0,46.0,0.0
2008,동서시장,55.0,2,57.0,3.5
2010,동서시장,58.0,0,58.0,0.0
2012,동서시장,40.0,0,40.0,0.0
2013,동서시장,54.0,3,57.0,5.3
2014,동서시장,51.0,0,51.0,0.0
2015,동서시장,51.0,11,62.0,17.7
2016,동서시장,48.0,10,58.0,17.2
2017,동서시장,101.0,0,101.0,0.0
2018,동서시장,46.0,0,46.0,0.0
2019,동서시장,50.0,0,50.0,0.0
2020,동서시장,43.0,0,43.0,0.0
2021,동서시장,50.0,2,52.0,3.8
2022,동서시장,50.0,2,52.0,3.8
2023,동서시장,50.0,2,52.0,3.8
2010,서울약령시장,1041.0,53,1094.0,4.8
2012,서울약령시장,,14,,
2013,서울약령시장,,14,,
2014,서울약령시장,1029.0,15,1044.0,1.4
2015,서울약령시장,1050.0,6,1056.0,0.6
2016,서울약령시장,1300.0,5,1305.0,0.4
2017,서울약령시장,920.0,34,954.0,3.6
2018,서울약령시장,912.0,47,959.0,4.9
2019,서울약령시장,912.0,45,957.0,4.7
2020,서울약령시장,957.0,25,982.0,2.5
2021,서울약령시장,951.0,0,951.0,0.0
2022,서울약령시장,951.0,0,951.0,0.0
2023,서울약령시장,951.0,0,951.0,0.0
2016,청량리농수산물시장,95.0,0,95.0,0.0
2017,청량리농수산물시장,105.0,0,105.0,0.0
2018,청량리농수산물시장,118.0,4,122.0,3.3
2019,청량리농수산물시장,118.0,4,122.0,3.3
2020,청량리농수산물시장,121.0,0,121.0,0.0
2021,청량리농수산물시장,119.0,0,119.0,0.0
2022,청량리농수산물시장,118.0,5,123.0,4.1
2023,청량리농수산물시장,118.0,5,123.0,4.1
2006,청량리수산시장,273.0,5,278.0,1.8
2010,청량리수산시장,121.0,0,121.0,0.0
2013,청량리수산시장,104.0,10,114.0,8.8
2014,청량리수산시장,110.0,3,113.0,2.7
2015,청량리수산시장,106.0,2,108.0,1.9
2016,청량리수산시장,91.0,3,94.0,3.2
2017,청량리수산시장,100.0,3,103.0,2.9
2018,청량리수산시장,100.0,0,100.0,0.0
2019,청량리수산시장,100.0,0,100.0,0.0
2020,청량리수산시장,100.0,0,100.0,0.0
2021,청량리수산시장,114.0,1,115.0,0.9
2022,청량리수산시장,118.0,0,118.0,0.0
2023,청량리수산시장,114.0,0,114.0,0.0
2010,청량리전통시장,70.0,1,71.0,1.4
2012,청량리전통시장,70.0,0,70.0,0.0
2013,청량리전통시장,66.0,0,66.0,0.0
2014,청량리전통시장,62.0,0,62.0,0.0
2015,청량리전통시장,69.0,0,69.0,0.0
